Material,MTyp,Matl Group
Material 7472,ROH,93
Material 1298,ROH,93
Material 2783,ROH,93
Material 5334,ROH,93
Material 3067,ROH,93
Material 5736,ROH,93
Material 6766,ROH,93
Material 3652,ROH,93
Material 5405,ROH,93
Material 5505,ROH,93
Material 2115,ROH,93
Material 6132,ROH,93
Material 4892,ROH,93
Material 7763,ROH,93
Material 1496,ROH,93
Material 4004,ROH,93
Material 5752,ROH,93
Material 7834,ROH,93
Material 7795,ROH,93
Material 3881,ROH,93
Material 7494,ROH,93
Material 7769,ROH,93
Material 4036,ROH,93
Material 3307,ROH,93
Material 5819,ROH,93
Material 988,ROH,93
Material 1436,ROH,93
Material 6304,ROH,93
Material 3590,ROH,0
Material 4135,ROH,0
Material 6977,ROH,0
Material 1946,ROH,0
Material 1428,ROH,10
Material 8056,ROH,57
Material 6482,ROH,57
Material 5186,ROH,57
Material 6216,ROH,9
Material 1338,ROH,9
Material 7796,ROH,92
Material 726,ROH,96
Material 3929,ROH,76
Material 2418,ROH,76
Material 4318,ROH,76
Material 3741,ROH,76
Material 594,ROH,16
Material 1445,ROH,96
Material 5225,ROH,46
Material 5581,ROH,17
Material 5862,ROH,76
Material 3597,ROH,76
Material 939,ROH,76
Material 5056,ROH,46
Material 2569,ROH,104
Material 537,ROH,17
Material 3730,ROH,68
Material 551,ROH,92
Material 5372,ROH,92
Material 5122,ROH,96
Material 552,ROH,76
Material 4527,ROH,76
Material 3202,ROH,76
Material 6895,ROH,76
Material 3593,ROH,76
Material 4445,ROH,76
Material 688,ROH,76
Material 2954,ROH,93
Material 5017,ROH,93
Material 2791,ROH,93
Material 6953,ROH,93
Material 1891,ROH,104
Material 7341,ROH,0
Material 8070,ROH,76
Material 5390,ROH,76
Material 6025,ROH,76
Material 1595,ROH,76
Material 4471,ROH,76
Material 6939,ROH,76
Material 1023,ROH,104
Material 2329,ROH,104
Material 2964,ROH,76
Material 7429,ROH,104
Material 2695,ROH,104
Material 20,ROH,104
Material 1133,ROH,77
Material 4087,ROH,77
Material 3586,ROH,2
Material 7320,ROH,2
Material 367,ROH,76
Material 6341,ROH,76
Material 6487,ROH,76
Material 6069,ROH,76
Material 6139,ROH,26
Material 5554,ROH,26
Material 6134,ROH,26
Material 3055,ROH,26
Material 2235,ROH,26
Material 5693,ROH,26
Material 544,ROH,83
Material 1850,ROH,26
Material 3217,ROH,26
Material 4277,ROH,83
Material 4705,ROH,26
Material 7305,ROH,83
Material 2483,ROH,83
Material 3987,ROH,83
Material 7248,ROH,83
Material 6957,ROH,83
Material 6218,ROH,83
Material 2065,ROH,83
Material 296,ROH,83
Material 6116,ROH,26
Material 1033,ROH,26
Material 7917,ROH,26
Material 3120,ROH,83
Material 7614,ROH,83
Material 6947,ROH,83
Material 6774,ROH,83
Material 108,ROH,26
Material 1196,ROH,26
Material 3548,ROH,83
Material 743,ROH,83
Material 1235,ROH,76
Material 2066,ROH,76
Material 7109,AWA,73
Material 6010,AWA,34
Material 1701,AWA,34
Material 4121,AWA,34
Material 733,AWA,34
Material 3213,AWA,34
Material 4501,AWA,34
Material 3631,AWA,34
Material 5491,AWA,34
Material 5391,AWA,34
Material 1043,AWA,34
Material 1643,AWA,34
Material 6199,AWA,34
Material 6625,AWA,34
Material 377,AWA,34
Material 5413,AWA,34
Material 2442,AWA,34
Material 1376,AWA,34
Material 7643,AWA,34
Material 2643,AWA,34
Material 4390,AWA,34
Material 880,AWA,34
Material 7016,AWA,34
Material 6997,AWA,34
Material 3238,AWA,34
Material 4380,AWA,34
Material 7280,ERT,50
Material 2831,ERT,50
Material 49,ERT,50
Material 7519,ERT,50
Material 2217,ERT,50
Material 4963,NBW,7
Material 6497,NBW,7
Material 6796,NBW,7
Material 3775,ERT,55
Material 4975,ERT,55
Material 3435,ERT,63
Material 7082,ERT,63
Material 2413,ERT,55
Material 5874,ERT,63
Material 6879,ERT,55
Material 3261,ERT,63
Material 3932,ERT,63
Material 162,ERT,63
Material 7689,ERT,63
Material 8019,ERT,55
Material 6853,ERT,63
Material 3708,ERT,55
Material 3989,ERT,63
Material 4696,ERT,63
Material 7995,ERT,63
Material 3752,ERT,63
Material 4187,ERT,55
Material 5373,ERT,55
Material 7991,ERT,63
Material 1332,ERT,63
Material 7730,ERT,55
Material 5892,ERT,55
Material 4037,ERT,63
Material 4834,ERT,63
Material 7932,ERT,63
Material 4407,ERT,63
Material 5065,ERT,55
Material 1880,ERT,63
Material 4442,ERT,63
Material 7247,ERT,63
Material 5913,ERT,55
Material 110,ERT,63
Material 7421,ERT,63
Material 2187,ERT,63
Material 1292,ERT,63
Material 159,ERT,55
Material 6042,ERT,63
Material 6512,ERT,55
Material 342,ERT,63
Material 6707,ERT,63
Material 1863,ERT,63
Material 5652,ERT,63
Material 2102,ERT,63
Material 449,ERT,55
Material 5330,ERT,63
Material 2815,ERT,63
Material 2912,ERT,63
Material 6706,ERT,55
Material 2351,ERT,63
Material 7108,ERT,63
Material 4425,ERT,63
Material 3246,ERT,63
Material 6708,ERT,63
Material 160,ERT,55
Material 4720,ERT,63
Material 1846,ERT,55
Material 2209,ERT,63
Material 6414,ERT,63
Material 3892,ERT,55
Material 3299,ERT,63
Material 5508,ERT,63
Material 1163,ERT,55
Material 2922,ERT,63
Material 3514,ERT,63
Material 4060,ERT,63
Material 5805,ERT,63
Material 2748,ERT,63
Material 1829,ERT,55
Material 495,ERT,63
Material 3824,ERT,63
Material 5901,ERT,63
Material 772,ERT,55
Material 7122,ERT,63
Material 788,ERT,63
Material 1203,ERT,63
Material 3628,ERT,63
Material 3521,ERT,63
Material 4246,ERT,55
Material 587,ERT,63
Material 3582,ERT,63
Material 6211,ERT,63
Material 5510,ERT,55
Material 7826,ERT,63
Material 2335,ERT,63
Material 621,ERT,63
Material 15,ERT,63
Material 7090,ERT,63
Material 4998,ERT,63
Material 3190,ERT,63
Material 5559,ERT,63
Material 3669,ERT,55
Material 6050,ERT,63
Material 5770,ERT,63
Material 7629,ERT,63
Material 2772,ERT,63
Material 713,ERT,63
Material 2932,ERT,63
Material 4282,ERT,55
Material 3356,ERT,63
Material 4989,ERT,55
Material 2121,ERT,63
Material 4984,ERT,63
Material 932,ERT,63
Material 6413,ERT,63
Material 4482,ERT,63
Material 470,ERT,55
Material 7126,ERT,63
Material 1455,ERT,63
Material 7733,ERT,63
Material 3408,ERT,63
Material 3197,ERT,63
Material 5535,ERT,63
Material 4420,ERT,55
Material 1399,ERT,63
Material 1672,ERT,63
Material 5124,ERT,63
Material 7927,ERT,55
Material 736,ERT,63
Material 5704,ERT,63
Material 5443,ERT,55
Material 2069,ERT,63
Material 2386,ERT,63
Material 6028,ERT,63
Material 6933,ERT,63
Material 1628,ERT,63
Material 3861,ERT,55
Material 8036,ERT,63
Material 1025,ERT,63
Material 1367,ERT,55
Material 4637,ERT,63
Material 5965,ERT,55
Material 3890,ERT,55
Material 5245,ERT,55
Material 3370,ERT,55
Material 3472,ERT,55
Material 247,ERT,63
Material 7888,ERT,63
Material 7268,ERT,55
Material 2613,ERT,63
Material 3156,ERT,63
Material 936,ERT,63
Material 2090,ERT,63
Material 5957,ERT,55
Material 4628,ERT,63
Material 12,ERT,63
Material 5677,ERT,63
Material 2144,ERT,63
Material 6753,ERT,63
Material 1810,ERT,55
Material 4455,ERT,63
Material 2046,ERT,63
Material 3061,ERT,63
Material 4321,ERT,63
Material 887,ERT,55
Material 984,ERT,63
Material 2582,ERT,63
Material 3332,ERT,63
Material 4055,ERT,63
Material 5793,ERT,63
Material 853,ERT,55
Material 4530,ERT,63
Material 2119,ERT,63
Material 2622,ERT,63
Material 1705,ERT,63
Material 6255,ERT,63
Material 9,ERT,63
Material 1073,ERT,63
Material 2635,ERT,55
Material 7920,ERT,63
Material 225,ERT,63
Material 5343,ERT,63
Material 1020,ERT,63
Material 777,ERT,63
Material 3144,ERT,55
Material 6737,ERT,63
Material 6133,ERT,63
Material 1567,ERT,55
Material 1404,ERT,63
Material 3862,ERT,63
Material 4328,ERT,63
Material 4680,ERT,63
Material 4862,ERT,63
Material 1202,ERT,63
Material 6253,ERT,55
Material 3158,ERT,63
Material 2984,ERT,63
Material 1288,ERT,63
Material 4792,ERT,63
Material 2700,ERT,55
Material 2955,ERT,63
Material 2478,ERT,63
Material 7266,ERT,55
Material 7683,ERT,63
Material 6617,ERT,63
Material 5496,ERT,63
Material 5719,ERT,63
Material 2548,ERT,63
Material 2277,ERT,63
Material 3242,ERT,63
Material 7133,ERT,55
Material 7433,ERT,63
Material 4016,ERT,63
Material 4239,ERT,63
Material 529,ERT,63
Material 4441,ERT,63
Material 7333,ERT,63
Material 822,ERT,55
Material 2080,ERT,63
Material 3540,ERT,55
Material 2486,ERT,63
Material 4201,ERT,63
Material 7186,ERT,55
Material 132,ERT,63
Material 5712,ERT,55
Material 2211,ERT,63
Material 6371,ERT,63
Material 2035,ERT,63
Material 5852,ERT,63
Material 1756,ERT,55
Material 11,ERT,63
Material 5827,ERT,63
Material 1856,ERT,55
Material 281,ERT,63
Material 5912,ERT,55
Material 2226,ERT,63
Material 453,ERT,63
Material 1831,ERT,63
Material 7905,ERT,63
Material 5097,ERT,63
Material 6955,ERT,55
Material 5958,ERT,63
Material 2484,ERT,63
Material 2431,ERT,63
Material 4176,ERT,55
Material 6792,ERT,55
Material 4107,ERT,63
Material 4001,ERT,63
Material 1671,ERT,55
Material 5963,ERT,63
Material 1561,ERT,63
Material 7102,ERT,55
Material 3853,ERT,63
Material 3402,ERT,63
Material 1531,ERT,63
Material 1650,ERT,63
Material 4110,ERT,63
Material 2337,ERT,63
Material 2971,ERT,63
Material 4105,ERT,63
Material 6803,ERT,63
Material 4169,ERT,55
Material 2537,ERT,63
Material 1353,ERT,63
Material 5500,ERT,63
Material 7162,ERT,55
Material 3434,ERT,63
Material 5340,ERT,63
Material 148,ERT,63
Material 6821,ERT,55
Material 7355,ERT,63
Material 2044,ERT,63
Material 7959,ERT,55
Material 897,ERT,63
Material 6209,ERT,63
Material 6264,ERT,55
Material 1418,ERT,63
Material 1703,ERT,63
Material 5038,ERT,63
Material 1354,ERT,55
Material 4020,ERT,63
Material 2081,ERT,63
Material 4216,ERT,63
Material 3086,ERT,63
Material 799,ERT,63
Material 6951,ERT,63
Material 4340,ERT,55
Material 2614,ERT,63
Material 4813,ERT,63
Material 2137,ERT,63
Material 4189,ERT,55
Material 4306,ERT,55
Material 623,ERT,63
Material 7499,ERT,63
Material 5363,ERT,55
Material 3205,ERT,63
Material 3228,ERT,63
Material 2151,ERT,63
Material 1841,ERT,63
Material 3179,ERT,63
Material 1582,ERT,55
Material 7657,ERT,63
Material 5672,ERT,63
Material 242,ERT,55
Material 2060,ERT,55
Material 136,ERT,63
Material 1278,ERT,55
Material 2956,ERT,63
Material 6361,ERT,55
Material 820,ERT,63
Material 7953,ERT,55
Material 1067,ERT,63
Material 4475,ERT,63
Material 2429,ERT,63
Material 2756,ERT,63
Material 2330,ERT,63
Material 7393,ERT,63
Material 6009,ERT,63
Material 2404,ERT,63
Material 6223,ERT,63
Material 2049,ERT,63
Material 1501,ERT,63
Material 7025,ERT,63
Material 5791,ERT,55
Material 5707,ERT,63
Material 7842,ERT,63
Material 1562,ERT,63
Material 5566,ERT,63
Material 1039,ERT,63
Material 5267,ERT,63
Material 1865,ERT,55
Material 1604,ERT,63
Material 1042,ERT,63
Material 213,ERT,63
Material 2374,ERT,63
Material 2166,ERT,63
Material 340,ERT,63
Material 5757,ERT,55
Material 7776,ERT,63
Material 3966,ERT,63
Material 6847,ERT,55
Material 5725,ERT,63
Material 8004,ERT,63
Material 782,ERT,63
Material 7451,ERT,55
Material 5616,ERT,63
Material 4383,ERT,63
Material 1897,ERT,63
Material 1546,ERT,55
Material 4532,ERT,63
Material 5002,ERT,63
Material 8029,ERT,63
Material 2595,ERT,63
Material 7064,ERT,55
Material 5772,ERT,63
Material 1361,ERT,63
Material 3532,ERT,55
Material 4118,ERT,63
Material 4005,ERT,55
Material 395,ERT,63
Material 4192,ERT,55
Material 6236,ERT,63
Material 2572,ERT,55
Material 1882,ERT,63
Material 6088,ERT,63
Material 5131,ERT,63
Material 4126,ERT,63
Material 6322,ERT,63
Material 6620,ERT,63
Material 5341,ERT,63
Material 4470,ERT,63
Material 6189,ERT,63
Material 2501,ERT,63
Material 6513,ERT,63
Material 3550,ERT,63
Material 3981,ERT,55
Material 6927,ERT,63
Material 4209,ERT,63
Material 6011,ERT,55
Material 6802,ERT,55
Material 3108,ERT,63
Material 3882,ERT,63
Material 5152,ERT,63
Material 6001,ERT,55
Material 6127,ERT,63
Material 6333,ERT,63
Material 7685,ERT,55
Material 5108,ERT,63
Material 1745,ERT,63
Material 915,ERT,63
Material 4520,ERT,63
Material 2649,ERT,63
Material 5275,ERT,63
Material 6107,ERT,55
Material 3801,ERT,63
Material 4539,ERT,63
Material 4073,ERT,55
Material 6541,ERT,55
Material 4027,ERT,63
Material 6150,ERT,55
Material 1499,ERT,63
Material 5012,ERT,63
Material 5908,ERT,63
Material 6994,ERT,63
Material 3820,ERT,63
Material 6589,ERT,55
Material 1906,ERT,63
Material 7688,ERT,63
Material 1944,ERT,55
Material 2462,ERT,63
Material 3916,ERT,63
Material 186,ERT,55
Material 7192,ERT,63
Material 6605,ERT,63
Material 1665,ERT,63
Material 5238,ERT,55
Material 6441,ERT,63
Material 239,ERT,63
Material 218,ERT,63
Material 2292,ERT,55
Material 7777,ERT,63
Material 671,ERT,63
Material 3398,ERT,55
Material 3876,ERT,63
Material 8048,ERT,55
Material 2078,ERT,63
Material 1874,ERT,63
Material 5661,ERT,63
Material 1426,ERT,63
Material 5522,ERT,63
Material 4757,ERT,55
Material 1372,ERT,63
Material 7892,ERT,63
Material 4120,ERT,63
Material 1711,ERT,63
Material 3272,ERT,55
Material 1915,ERT,63
Material 2243,ERT,63
Material 6391,ERT,63
Material 272,ERT,55
Material 6237,ERT,63
Material 2334,ERT,63
Material 3827,ERT,55
Material 4999,ERT,63
Material 560,ERT,55
Material 819,ERT,63
Material 6354,ERT,63
Material 1195,ERT,55
Material 2098,ERT,63
Material 878,ERT,63
Material 1313,ERT,63
Material 2352,ERT,55
Material 2269,ERT,63
Material 4237,ERT,63
Material 1341,ERT,63
Material 7816,ERT,63
Material 6173,ERT,55
Material 6574,ERT,63
Material 6668,ERT,63
Material 4525,ERT,63
Material 889,ERT,63
Material 2896,ERT,63
Material 935,ERT,55
Material 7711,ERT,63
Material 1585,ERT,63
Material 5113,ERT,63
Material 2567,ERT,63
Material 7075,ERT,63
Material 6613,ERT,55
Material 6483,ERT,55
Material 6718,ERT,55
Material 1461,ERT,63
Material 52,ERT,63
Material 7843,ERT,63
Material 794,ERT,63
Material 1576,ERT,55
Material 1469,ERT,63
Material 4796,ERT,63
Material 2713,ERT,63
Material 1149,ERT,63
Material 6184,ERT,55
Material 4010,ERT,63
Material 3468,ERT,63
Material 3592,ERT,55
Material 1994,ERT,63
Material 5208,ERT,63
Material 254,ERT,63
Material 3683,ERT,34
Material 7221,ERT,34
Material 1630,ERT,34
Material 521,ERT,34
Material 2653,ERT,34
Material 2958,ERT,34
Material 6681,ERT,34
Material 5408,ERT,34
Material 4405,ERT,34
Material 1844,ERT,34
Material 6702,ERT,34
Material 5642,ERT,34
Material 1393,ERT,34
Material 7883,ERT,34
Material 237,ERT,34
Material 1869,ERT,34
Material 6885,ERT,34
Material 4579,ERT,34
Material 6981,ERT,34
Material 7351,ERT,34
Material 4203,ERT,34
Material 2146,NBW,7
Material 6849,ERT,8
Material 5112,ERT,8
Material 926,ERT,8
Material 4198,ROH,2
Material 2266,ROH,12
Material 4396,ROH,2
Material 6861,NBW,7
Material 6633,NBW,7
Material 7751,NBW,7
Material 2019,ROH,2
Material 4721,ROH,13
Material 1117,NBW,7
Material 3204,NBW,7
Material 3695,ROH,13
Material 6754,NBW,7
Material 7319,NBW,7
Material 5129,NBW,7
Material 5490,NBW,7
Material 1423,NBW,7
Material 66,ERT,57
Material 3131,ERT,8
Material 3518,ROH,82
Material 1260,ERT,63
Material 3502,ERT,64
Material 7617,ERT,64
Material 5972,ERT,64
Material 7374,ERT,63
Material 1577,ERT,64
Material 1606,ERT,64
Material 2667,ERT,64
Material 1813,ERT,63
Material 1331,ERT,64
Material 3754,ERT,64
Material 4794,ERT,64
Material 4047,ERT,63
Material 5282,ERT,64
Material 5784,ERT,64
Material 1340,ERT,64
Material 221,ERT,63
Material 2059,ERT,64
Material 3184,ERT,64
Material 4356,ERT,64
Material 5304,ERT,63
Material 3116,ERT,64
Material 1070,ERT,64
Material 5666,ERT,64
Material 2031,ERT,63
Material 6784,ERT,64
Material 2931,ERT,64
Material 7948,ERT,64
Material 3980,ERT,63
Material 5356,ERT,64
Material 4603,ERT,64
Material 3903,ERT,64
Material 888,ERT,63
Material 5633,ERT,63
Material 3139,ERT,63
Material 5360,ERT,63
Material 1329,ERT,63
Material 2320,ERT,63
Material 6325,ERT,63
Material 7055,ERT,63
Material 1914,ERT,63
Material 7331,ERT,63
Material 6125,ERT,63
Material 8014,ERT,55
Material 3443,ERT,55
Material 6869,ERT,63
Material 7081,ERT,63
Material 2140,ERT,55
Material 4461,ERT,55
Material 695,ERT,63
Material 5458,ERT,63
Material 1965,ERT,63
Material 3918,ERT,55
Material 6984,ERT,55
Material 7919,ERT,55
Material 6525,ERT,63
Material 7471,ERT,63
Material 5897,ERT,63
Material 3993,ERT,63
Material 1536,ERT,63
Material 7414,ERT,63
Material 611,ERT,63
Material 2630,ERT,55
Material 4992,ERT,63
Material 196,ERT,63
Material 1191,ERT,63
Material 6439,ERT,63
Material 2920,ERT,63
Material 7006,ERT,55
Material 1716,ERT,63
Material 3060,ERT,63
Material 7261,ERT,63
Material 7522,ERT,63
Material 6424,ERT,63
Material 5876,ERT,63
Material 2395,ERT,55
Material 6944,ERT,63
Material 5157,ERT,63
Material 668,ERT,63
Material 7035,ERT,55
Material 602,ERT,63
Material 5092,ERT,63
Material 8064,ERT,63
Material 6326,ERT,55
Material 477,ERT,55
Material 823,ERT,63
Material 238,ERT,63
Material 3790,ERT,63
Material 294,ERT,55
Material 4883,ERT,63
Material 2590,ERT,63
Material 5675,ERT,63
Material 7545,ERT,63
Material 2960,ERT,63
Material 7900,ERT,55
Material 7087,ERT,63
Material 6676,ERT,55
Material 6751,ERT,63
Material 7645,ERT,63
Material 5549,ERT,55
Material 3643,ERT,63
Material 4632,ERT,63
Material 6615,ERT,63
Material 3727,ERT,63
Material 5449,ERT,63
Material 6834,ERT,55
Material 3449,ERT,63
Material 5090,ERT,63
Material 6675,ERT,55
Material 4808,ERT,63
Material 5997,ERT,63
Material 3178,ERT,55
Material 5005,ERT,63
Material 1106,ERT,63
Material 576,ERT,63
Material 3735,ERT,55
Material 4523,ERT,63
Material 1685,ERT,55
Material 3783,ERT,63
Material 5137,ERT,63
Material 2376,ERT,55
Material 4761,ERT,63
Material 6520,ERT,63
Material 7564,ERT,63
Material 4776,ERT,63
Material 5919,ERT,63
Material 2095,ERT,55
Material 7895,ERT,63
Material 2361,ERT,55
Material 3103,ERT,63
Material 3010,ERT,63
Material 5013,ERT,55
Material 2802,ERT,63
Material 3411,ERT,55
Material 2280,ERT,63
Material 1819,ERT,63
Material 5631,ERT,55
Material 5218,ERT,63
Material 1556,ERT,63
Material 1675,ERT,55
Material 6824,ERT,63
Material 411,ERT,55
Material 2313,ERT,63
Material 1474,ERT,63
Material 3675,ERT,55
Material 7993,ERT,63
Material 5742,ERT,63
Material 3267,ERT,63
Material 5467,ERT,55
Material 5656,ERT,63
Material 5023,ERT,63
Material 3913,ERT,55
Material 6120,ERT,63
Material 6972,ERT,55
Material 3277,ERT,63
Material 3545,ERT,63
Material 5088,ERT,55
Material 6758,ERT,63
Material 7371,ERT,63
Material 2308,ERT,63
Material 921,ERT,55
Material 5009,ERT,63
Material 7191,ERT,55
Material 2454,ERT,63
Material 640,ERT,63
Material 3994,ERT,63
Material 4960,ERT,63
Material 4732,ERT,55
Material 2844,ERT,63
Material 1666,ERT,55
Material 6685,ERT,63
Material 5367,ERT,55
Material 2053,ERT,63
Material 2475,ERT,55
Material 3990,ERT,63
Material 3866,ERT,55
Material 8084,ERT,63
Material 6320,AWA,41
Material 7183,ERT,34
Material 4668,ERT,34
Material 2370,ERT,34
Material 3662,ERT,34
Material 5979,ERT,34
Material 4982,ERT,34
Material 7129,ERT,34
Material 1625,ERT,34
Material 1794,ERT,34
Material 5572,ERT,34
Material 6399,ERT,34
Material 4556,ERT,34
Material 7059,ERT,34
Material 5685,ERT,34
Material 4337,ERT,34
Material 57,ERT,34
Material 800,ERT,34
Material 2765,ERT,34
Material 4338,ERT,34
Material 7853,ERT,34
Material 1815,ERT,34
Material 2788,ERT,34
Material 589,ERT,34
Material 7931,ERT,34
Material 4824,ERT,34
Material 4868,ERT,34
Material 5674,ERT,34
Material 632,ERT,34
Material 5154,ERT,34
Material 3241,ERT,34
Material 7270,ERT,34
Material 2994,AWA,73
Material 464,ERT,57
Material 3035,ERT,57
Material 6213,ERT,57
Material 904,ERT,57
Material 5110,ERT,57
Material 727,NBW,7
Material 588,NBW,34
Material 1224,NBW,34
Material 3638,NBW,34
Material 1724,NBW,7
Material 3693,NBW,7
Material 5193,NBW,7
Material 7909,NBW,7
Material 6504,NBW,7
Material 6343,ROH,10
Material 214,ROH,10
Material 5328,ROH,0
Material 7954,ROH,11
Material 2244,ERT,63
Material 7856,ERT,64
Material 1654,ERT,64
Material 7731,ERT,64
Material 7929,ERT,63
Material 4253,ERT,64
Material 4697,ERT,64
Material 4350,ERT,64
Material 122,ERT,64
Material 863,ERT,63
Material 2294,ERT,64
Material 5452,ERT,63
Material 4606,ERT,64
Material 6632,ERT,63
Material 667,ERT,64
Material 3795,ERT,64
Material 5738,ERT,63
Material 6160,ERT,64
Material 7445,ERT,63
Material 1999,ERT,63
Material 5622,ERT,64
Material 1623,ERT,64
Material 5046,ERT,63
Material 5203,ERT,64
Material 5745,ERT,64
Material 2477,ERT,64
Material 4284,ERT,63
Material 1985,ERT,64
Material 2130,ERT,64
Material 6289,ERT,64
Material 5376,ERT,64
Material 3337,ERT,64
Material 1314,ERT,64
Material 2303,ERT,64
Material 898,ERT,64
Material 230,ERT,64
Material 4276,ERT,64
Material 7147,ERT,63
Material 5728,ERT,64
Material 2231,ERT,64
Material 600,ERT,64
Material 5021,ERT,63
Material 3455,ERT,64
Material 6342,ERT,64
Material 6733,ERT,64
Material 6580,ERT,64
Material 299,ERT,64
Material 4127,ERT,64
Material 5720,ERT,64
Material 5895,ERT,64
Material 2668,ROH,34
Material 2632,ROH,13
Material 3647,ROH,13
Material 690,ROH,20
Material 6468,ROH,20
Material 8038,ROH,20
Material 1430,AWA,34
Material 4304,AWA,34
Material 861,AWA,34
Material 1833,AWA,34
Material 2669,AWA,34
Material 3700,ROH,34
Material 5690,ROH,34
Material 6764,ROH,97
Material 6650,ROH,97
Material 2985,ROH,20
Material 7116,ROH,19
Material 4864,ROH,34
Material 324,ROH,20
Material 1919,ROH,34
Material 3304,ERT,51
Material 7720,ERT,51
Material 5503,ERT,51
Material 4429,ERT,51
Material 3000,ERT,51
Material 3227,ERT,51
Material 6968,ERT,51
Material 6769,ERT,51
Material 381,ERT,42
Material 1733,ERT,42
Material 7288,ERT,42
Material 144,ERT,42
Material 4729,ERT,42
Material 10,ERT,42
Material 7312,ERT,42
Material 7196,ERT,42
Material 7944,ERT,42
Material 6935,ERT,42
Material 7781,ERT,42
Material 4491,ERT,42
Material 2284,ERT,42
Material 1609,ERT,42
Material 4584,ERT,42
Material 2663,ERT,42
Material 4737,ERT,42
Material 2604,ERT,42
Material 3678,ERT,42
Material 2043,ERT,42
Material 181,ERT,42
Material 2794,ERT,42
Material 7158,ERT,42
Material 6233,ERT,42
Material 5050,ERT,42
Material 5454,ERT,42
Material 1619,ERT,42
Material 3165,ERT,42
Material 6153,ERT,42
Material 7483,ERT,42
Material 475,ERT,42
Material 948,ERT,42
Material 1166,ERT,42
Material 994,ERT,42
Material 6548,ERT,42
Material 5838,ERT,42
Material 5042,ERT,42
Material 882,ERT,42
Material 7724,ERT,42
Material 3419,ERT,42
Material 2962,ERT,42
Material 4566,ERT,42
Material 8063,ERT,42
Material 2185,ERT,42
Material 6793,ERT,42
Material 6672,ERT,42
Material 7019,ERT,42
Material 737,ERT,42
Material 3703,ERT,34
Material 5990,ERT,34
Material 6524,ERT,34
Material 7053,ERT,34
Material 5342,ERT,34
Material 1903,ERT,42
Material 6427,ERT,42
Material 4242,ERT,42
Material 351,ERT,42
Material 3220,ERT,42
Material 5865,ERT,42
Material 7634,ERT,42
Material 7384,ERT,42
Material 4148,ERT,42
Material 3886,ERT,42
Material 2339,ERT,42
Material 2165,ERT,42
Material 1052,ERT,42
Material 4962,ERT,42
Material 1852,ERT,42
Material 543,ERT,42
Material 7071,ERT,42
Material 2410,ERT,42
Material 7942,ERT,42
Material 5625,ERT,42
Material 4336,ERT,42
Material 6437,ERT,42
Material 1422,ERT,42
Material 7207,ERT,42
Material 2904,ERT,42
Material 4766,ERT,42
Material 1284,ERT,42
Material 6472,ERT,42
Material 6985,ERT,42
Material 1868,ERT,42
Material 6592,ERT,42
Material 6569,ERT,42
Material 3117,ERT,42
Material 568,ERT,42
Material 3999,ERT,42
Material 3559,ERT,42
Material 7670,ERT,42
Material 2411,ERT,42
Material 728,ERT,42
Material 1958,ERT,42
Material 4040,ERT,42
Material 6833,ERT,42
Material 7029,ERT,42
Material 4914,ERT,42
Material 6256,ERT,42
Material 5870,ERT,42
Material 6421,ERT,42
Material 6710,ERT,42
Material 4882,ERT,42
Material 5187,ERT,42
Material 5863,ERT,42
Material 2659,ERT,42
Material 3247,ERT,42
Material 6394,ERT,42
Material 3943,ERT,42
Material 6788,ERT,42
Material 1407,ERT,42
Material 6147,ERT,42
Material 7394,ERT,42
Material 2083,ERT,42
Material 6703,ERT,42
Material 2795,ERT,42
Material 4493,ERT,42
Material 1848,ERT,42
Material 3957,ERT,42
Material 5195,ERT,42
Material 5121,ERT,42
Material 1075,ERT,42
Material 2903,ERT,42
Material 996,ERT,42
Material 5634,ERT,42
Material 2316,ERT,42
Material 3577,ERT,42
Material 1014,ERT,42
Material 2898,ERT,42
Material 1293,ERT,42
Material 4273,ERT,42
Material 2735,ERT,42
Material 4746,ERT,42
Material 42,ERT,42
Material 2438,ERT,42
Material 2173,ERT,42
Material 486,ERT,42
Material 3287,ERT,42
Material 6067,ERT,42
Material 3314,ERT,42
Material 4817,ERT,42
Material 3779,ERT,42
Material 6347,ERT,42
Material 7611,ERT,42
Material 1712,ERT,42
Material 2286,ERT,42
Material 5877,ERT,42
Material 7908,ERT,42
Material 901,ERT,42
Material 6591,ERT,42
Material 1838,ERT,42
Material 5263,ERT,42
Material 3193,ERT,42
Material 4534,ERT,42
Material 2704,ERT,42
Material 6230,ERT,42
Material 7902,ERT,42
Material 2289,ERT,42
Material 1072,ERT,42
Material 3854,ERT,42
Material 6148,ERT,42
Material 2067,ERT,42
Material 1478,ERT,42
Material 4333,ERT,42
Material 1959,ERT,42
Material 5359,ERT,42
Material 398,ERT,42
Material 6275,ERT,42
Material 7195,ERT,42
Material 6628,ERT,42
Material 7512,ERT,42
Material 4480,ERT,42
Material 436,ERT,42
Material 1294,ERT,42
Material 4674,ERT,42
Material 864,ERT,42
Material 3297,ERT,42
Material 2819,ERT,42
Material 7660,ERT,42
Material 3668,ERT,42
Material 2113,ERT,42
Material 5176,ERT,42
Material 7003,ERT,42
Material 2775,ERT,42
Material 4248,ERT,42
Material 4996,ERT,42
Material 3278,ERT,42
Material 6654,ERT,42
Material 3427,ERT,42
Material 2867,ERT,42
Material 3905,ERT,42
Material 3367,ERT,42
